Season,Player_Name,Position,Team,Guaranteed_Money,Contract_Value,Contract_Length_Years
2019,Aaron Lynch,ED,CHI,1250000,1500000,1
2019,Abdullah Anderson,IDL,CHI,0,1080000,2
2019,Adam Shaheen,TE,CHI,3637216,5910516,4
2019,Adarius Pickett,S,CHI,10000,1760000,3
2019,Akiem Hicks,IDL,CHI,30000000,48000000,4
2019,Alex Bars,LG,CHI,40000,1760000,3
2019,Alex Scearce,LB,CHI,0,1665000,3
2019,Alex Wesley,WR,CHI,0,136000,1
2019,Allen Robinson,WR,CHI,25200000,42000000,3
2019,Andrew Trumbetti,ED,CHI,500,1710000,3
2019,Andy Phillips,K,CHI,0,1665000,3
2019,Anthony Miller,WR,CHI,3176950,5353700,4
2019,Ben Braunecker,TE,CHI,550000,2700000,2
2019,Bilal Nichols,IDL,CHI,299480,2759480,4
2019,Blake Blackmar,RG,CHI,2500,1757500,3
2019,Bobby Massie,RT,CHI,15800000,32000000,4
2019,Bradley Sowell,TE,CHI,0,1450000,1
2019,Brandon Greene,RG,CHI,0,1665000,3
2019,Brent Urban,IDL,CHI,0,805000,1
2019,Bunmi Rotimi,IDL,CHI,7000,1717000,3
2019,Buster Skrine,CB,CHI,8500000,16500000,3
2019,Cavon Walker,IDL,CHI,6000,1716000,3
2019,Charles Leno Jr.,LT,CHI,18000000,37000000,4
2019,Chase Daniel,QB,CHI,7000000,10000000,2
2019,Chris Blewitt,K,CHI,0,1755000,3
2019,Chuck Harris,IDL,CHI,37500,1767500,3
2019,Clifton Duck,CB,CHI,0,1755000,3
2019,Cody Parkey,K,CHI,9000000,15000000,4
2019,Cody Whitehair,LG,CHI,27526078,51250000,5
2019,Cordarrelle Patterson,WR,CHI,5000000,10000000,2
2019,Corey Levin,C,CHI,18000,1398000,2
2019,Cornelius Lucas,LT,CHI,10000,840000,1
2019,Cyril Grayson,WR,CHI,0,1080000,2
2019,Danny Trevathan,LB,CHI,15500000,28000000,4
2019,Daryle Banfield,IDL,CHI,1500,1756500,3
2019,David Montgomery,RB,CHI,1046180,4015380,4
2019,Dax Raymond,TE,CHI,45000,1770000,3
2019,DeAndre Houston-Carson,S,CHI,25000,770000,1
2019,Deiondre' Hall,S,CHI,510892,2850892,4
2019,Dejon Allen,RG,CHI,0,1080000,2
2019,Deon Bush,S,CHI,526216,2866216,4
2019,Devante Bond,LB,CHI,0,645000,1
2019,Dewayne Hendrix,ED,CHI,0,136000,1
2019,Dieugot Joseph,LT,CHI,0,1665000,3
2019,Dino Boyd,LT,CHI,0,136000,1
2019,Dion Sims,TE,CHI,10000000,18000000,3
2019,Doyin Jibowu,S,CHI,12500,1760000,3
2019,Duke Shelley,CB,CHI,127840,2647840,4
2019,Eddie Goldman,IDL,CHI,25000000,42040000,4
2019,Eddie Jackson,S,CHI,665808,3065808,4
2019,Eddy Pineiro,K,CHI,25000,1735000,3
2019,Elijah Norris,ED,CHI,1000,1711000,3
2019,Elliott Fry,K,CHI,0,1755000,3
2019,Ellis Richardson,TE,CHI,1500,1756500,3
2019,Emanuel Hall,WR,CHI,42000,1767000,3
2019,Eric Saubert,TE,CHI,8000,1388000,2
2019,Fadol Brown,IDL,CHI,0,136000,1
2019,Franko House,TE,CHI,0,1665000,3
2019,Freddie Stevenson,FB,CHI,0,1665000,3
2019,Garrett Johnson,WR,CHI,100,1711000,3
2019,Ha-Ha Clinton-Dix,S,CHI,500000,3000000,1
2019,Hendrick Ekpe,LB,CHI,3500,1668500,3
2019,Ian Bunting,TE,CHI,15000,1760000,3
2019,Isaiah Irving,ED,CHI,0,645000,1
2019,J.P. Holtz,TE,CHI,0,495000,1
2019,Jalen Dalton,IDL,CHI,0,1755000,3
2019,Jameer Thurman,LB,CHI,40000,1762500,3
2019,James Daniels,RG,CHI,3930576,6950156,4
2019,James Vaughters,ED,CHI,30000,1080000,2
2019,Jamire Jordan,CB,CHI,10000,1760000,3
2019,Javon Wims,WR,CHI,95912,2555912,4
2019,Jay Cutler,QB,CHI,54000000,126700000,7
2019,Jeremi Hall,LG,CHI,0,1710000,3
2019,Jeremy McNichols,RB,CHI,0,136000,1
2019,Jesper Horsted,WR,CHI,0,1755000,3
2019,Jhajuan Seales,WR,CHI,0,1665000,3
2019,Joe Lowery,RG,CHI,5000,1757000,3
2019,Joe Walker,WR,CHI,0,1755000,3
2019,Joel Bouagnon,RB,CHI,7500,1672500,3
2019,Joel Iyiegbuniwe,LB,CHI,678576,3138576,4
2019,John Baron,K,CHI,0,1755000,3
2019,John Franklin III,CB,CHI,0,1080000,2
2019,John Wirtel,LS,CHI,7500,1757500,3
2019,Jomon Dotson,CB,CHI,10000,1760000,3
2019,Jonathan Bullard,IDL,CHI,862520,3413520,4
2019,Jonathan Harris,IDL,CHI,5000,1757500,3
2019,Jonathon Mincy,S,CHI,0,1080000,2
2019,Jordan Howard,RB,CHI,248024,2588024,4
2019,Jordan McCray,LG,CHI,0,495000,1
2019,Jordan Morgan,LG,CHI,296048,2696048,4
2019,Jordan Williams-Lambert,WR,CHI,30000,1080000,1
2019,Josh Caldwell,RB,CHI,0,495000,1
2019,Josh Rounds,RB,CHI,0,1665000,3
2019,Josh Woods,LB,CHI,30200,1110200,2
2019,Joshua Simmons,CB,CHI,6000,1755000,3
2019,Kerrith Whyte,RB,CHI,101468,2621468,4
2019,Kevin Pierre-Louis,LB,CHI,90000,895000,1
2019,Kevin Toliver II,CB,CHI,25000,1725000,3
2019,Khalil Mack,ED,CHI,90000000,141000000,6
2019,Kyle Fuller,CB,CHI,18000000,56000000,4
2019,Kyle Long,RG,CHI,4000000,12200000,2
2019,Kylie Fitts,ED,CHI,171900,2631900,4
2019,Lawrence Marshall,IDL,CHI,0,1755000,3
2019,Leonard Floyd,ED,CHI,15782990,15782990,4
2019,Levonte Whitfield,WR,CHI,0,1665000,3
2019,Marcus Cooper,CB,CHI,8000000,16000000,3
2019,Marquez Tucker,LG,CHI,10000,1760000,3
2019,Marvin Hall,WR,CHI,0,645000,1
2019,Mathieu Betts,ED,CHI,22000,1765000,3
2019,Matt Fleming,WR,CHI,0,1710000,3
2019,Michael Burton,FB,CHI,184356,2464356,4
2019,Michael Joseph,CB,CHI,0,1080000,2
2019,Mike Davis,RB,CHI,3000000,6000000,2
2019,Mike Glennon,QB,CHI,18500000,45000000,3
2019,Mitchell Kirsch,LT,CHI,0,1665000,3
2019,Mitchell Trubisky,QB,CHI,29032436,29032436,4
2019,Nicholas Williams,IDL,CHI,90000,895000,1
2019,Nick Foles,QB,CHI,50125000,88000000,4
2019,Nick Kwiatkoski,LB,CHI,575120,2915120,4
2019,Nick Orr,S,CHI,3500,1713500,3
2019,Nsimba Webster,WR,CHI,0,1755000,3
2019,Nyles Morgan,LB,CHI,3500,1713500,3
2019,Pat O'Donnell,P,CHI,1750000,3500000,2
2019,Patrick Scales,LS,CHI,0,810000,1
2019,Pernell McPhee,ED,CHI,15500000,38750000,5
2019,Pig Howard,WR,CHI,0,1665000,3
2019,Prince Amukamara,CB,CHI,18000000,27000000,3
2019,Quintin Demps,S,CHI,5000000,13500000,3
2019,Rashaad Coward,RG,CHI,0,645000,1
2019,Rashard Fant,CB,CHI,1000,1711000,3
